ééå±âÒêî,éûä‘[sec],à⁄ìÆó [mm],â◊èd[N]
1,0.01,0,-2.86102294921875E-02
1,0.22,3.33329988643527E-03,-0.03814697265625
1,0.24,6.66659977287054E-03,-3.99351119995117E-02
1,0.26,9.99989965930581E-03,-3.93390655517578E-02
1,0.27,1.33331995457411E-02,-0.03814697265625
1,0.28,1.66664994321764E-02,-3.57627868652344E-02
1,0.29,1.99997993186116E-02,-3.45706939697266E-02
1,0.3,2.33330992050469E-02,-3.33786010742188E-02
1,0.31,2.66663990914822E-02,-0.031590461730957
1,0.32,2.99996989779174E-02,-3.51667404174805E-02
1,0.33,3.33329988643527E-02,-3.27825546264648E-02
1,0.34,0.036666298750788,-3.57627868652344E-02
1,0.35,3.99995986372232E-02,-3.03983688354492E-02
1,0.36,4.33328985236585E-02,-3.45706939697266E-02
1,0.37,4.66661984100938E-02,-3.45706939697266E-02
1,0.38,4.99994982965291E-02,-3.27825546264648E-02
1,0.39,5.33327981829643E-02,-3.21865081787109E-02
1,0.4,5.66660980693996E-02,-3.39746475219727E-02
1,0.41,5.99993979558349E-02,-3.63588333129883E-02
1,0.42,6.33326978422702E-02,-3.51667404174805E-02
1,0.43,6.66659977287054E-02,-3.63588333129883E-02
1,0.44,6.99992976151407E-02,-3.45706939697266E-02
1,0.45,7.33325975015759E-02,-0.031590461730957
1,0.46,7.66658973880112E-02,-3.57627868652344E-02
1,0.47,7.99991972744465E-02,-3.57627868652344E-02
1,0.48,8.33324971608818E-02,-0.031590461730957
1,0.49,0.086665797047317,-3.45706939697266E-02
1,0.5,8.99990969337523E-02,-3.45706939697266E-02
1,0.51,9.33323968201876E-02,-3.69548797607422E-02
1,0.52,9.66656967066228E-02,-4.05311584472656E-02
1,0.53,9.99989965930581E-02,-4.05311584472656E-02
1,0.54,0.103332296479493,-4.35113906860352E-02
1,0.55,0.106665596365929,-4.11272048950195E-02
1,0.56,0.109998896252364,-4.05311584472656E-02
1,0.57,0.113332196138799,-4.29153442382813E-02
1,0.58,0.116665496025234,-4.17232513427734E-02
1,0.59,0.11999879591167,-3.99351119995117E-02
1,0.6,0.123332095798105,-3.69548797607422E-02
1,0.61,0.12666539568454,-3.69548797607422E-02
1,0.62,0.129998695570976,-3.51667404174805E-02
1,0.63,0.133331995457411,-3.33786010742188E-02
1,0.64,0.136665295343846,-0.031590461730957
1,0.65,0.139998595230281,-2.98023223876953E-02
1,0.66,0.143331895116717,-3.33786010742188E-02
1,0.67,0.146665195003152,-3.09944152832031E-02
1,0.68,0.149998494889587,-3.33786010742188E-02
1,0.69,0.153331794776022,-3.51667404174805E-02
1,0.7,0.156665094662458,-3.57627868652344E-02
1,0.71,0.159998394548893,-0.03814697265625
1,0.72,0.163331694435328,-3.99351119995117E-02
1,0.73,0.166664994321764,-4.23192977905273E-02
1,0.74,0.169998294208199,-4.05311584472656E-02
1,0.75,0.173331594094634,-3.93390655517578E-02
1,0.76,0.176664893981069,-4.11272048950195E-02
1,0.77,0.179998193867505,-4.41074371337891E-02
1,0.78,0.18333149375394,-4.41074371337891E-02
1,0.79,0.186664793640375,-3.75509262084961E-02
1,0.8,0.18999809352681,-3.75509262084961E-02
1,0.81,0.193331393413246,-3.87430191040039E-02
1,0.82,0.196664693299681,-4.29153442382813E-02
1,0.83,0.199997993186116,-3.87430191040039E-02
1,0.84,0.203331293072552,-4.23192977905273E-02
1,0.85,0.206664592958987,-4.41074371337891E-02
1,0.86,0.209997892845422,-4.05311584472656E-02
1,0.87,0.213331192731857,-3.87430191040039E-02
1,0.88,0.216664492618293,-4.17232513427734E-02
1,0.89,0.219997792504728,-3.87430191040039E-02
1,0.9,0.223331092391163,-3.87430191040039E-02
1,0.91,0.226664392277598,-4.11272048950195E-02
1,0.92,0.229997692164034,-4.17232513427734E-02
1,0.93,0.233330992050469,-3.87430191040039E-02
1,0.94,0.236664291936904,-3.63588333129883E-02
1,0.95,0.239997591823339,-3.87430191040039E-02
1,0.96,0.243330891709775,-4.05311584472656E-02
1,0.97,0.24666419159621,-3.87430191040039E-02
1,0.98,0.249997491482645,-3.99351119995117E-02
1,0.99,0.253330791369081,-4.11272048950195E-02
1,1,0.256664091255516,-3.45706939697266E-02
1,1.01,0.259997391141951,-3.27825546264648E-02
1,1.02,0.263330691028386,-3.51667404174805E-02
1,1.03,0.266663990914822,-0.031590461730957
1,1.04,0.269997290801257,-2.74181365966797E-02
1,1.05,0.273330590687692,-2.62260437011719E-02
1,1.06,0.276663890574127,-3.09944152832031E-02
1,1.07,0.279997190460563,-3.03983688354492E-02
1,1.08,0.283330490346998,-2.98023223876953E-02
1,1.09,0.286663790233433,-2.62260437011719E-02
1,1.1,0.289997090119869,-2.80141830444336E-02
1,1.11,0.293330390006304,-2.74181365966797E-02
1,1.12,0.296663689892739,-2.38418579101563E-02
1,1.13,0.299996989779174,-2.20537185668945E-02
1,1.14,0.30333028966561,-1.96695327758789E-02
1,1.15,0.306663589552045,-1.96695327758789E-02
1,1.16,0.30999688943848,-2.20537185668945E-02
1,1.17,0.313330189324915,-2.20537185668945E-02
1,1.18,0.316663489211351,-2.38418579101563E-02
1,1.19,0.319996789097786,-2.26497650146484E-02
1,1.2,0.323330088984221,-2.38418579101563E-02
1,1.21,0.326663388870657,-0.019073486328125
1,1.22,0.329996688757092,-1.66893005371094E-02
1,1.23,0.333329988643527,-1.54972076416016E-02
1,1.24,0.336663288529962,-1.60932540893555E-02
1,1.25,0.339996588416398,-1.54972076416016E-02
1,1.26,0.343329888302833,-1.37090682983398E-02
1,1.27,0.346663188189268,-1.72853469848633E-02
1,1.28,0.349996488075703,-1.72853469848633E-02
1,1.29,0.353329787962139,-1.49011611938477E-02
1,1.3,0.356663087848574,-2.02655792236328E-02
1,1.31,0.359996387735009,-2.14576721191406E-02
1,1.32,0.363329687621445,-1.72853469848633E-02
1,1.33,0.36666298750788,-2.08616256713867E-02
1,1.34,0.369996287394315,-2.14576721191406E-02
1,1.35,0.37332958728075,-2.14576721191406E-02
1,1.36,0.376662887167186,-2.08616256713867E-02
1,1.37,0.379996187053621,-2.08616256713867E-02
1,1.38,0.383329486940056,-2.08616256713867E-02
1,1.39,0.386662786826491,-2.02655792236328E-02
1,1.4,0.389996086712927,-1.96695327758789E-02
1,1.41,0.393329386599362,-1.96695327758789E-02
1,1.42,0.396662686485797,-2.14576721191406E-02
1,1.43,0.399995986372232,-1.84774398803711E-02
1,1.44,0.403329286258668,-2.26497650146484E-02
1,1.45,0.406662586145103,-1.84774398803711E-02
1,1.46,0.409995886031538,-1.72853469848633E-02
1,1.47,0.413329185917974,-1.43051147460938E-02
1,1.48,0.416662485804409,-1.43051147460938E-02
1,1.49,0.419995785690844,-1.49011611938477E-02
1,1.5,0.423329085577279,-1.54972076416016E-02
1,1.51,0.426662385463715,-1.49011611938477E-02
1,1.52,0.42999568535015,-1.13248825073242E-02
1,1.53,0.433328985236585,-1.54972076416016E-02
1,1.54,0.43666228512302,-1.96695327758789E-02
1,1.55,0.439995585009456,-2.08616256713867E-02
1,1.56,0.443328884895891,-2.68220901489258E-02
1,1.57,0.446662184782326,-0.025629997253418
1,1.58,0.449995484668762,-0.025629997253418
1,1.59,0.453328784555197,-2.74181365966797E-02
1,1.6,0.456662084441632,-2.80141830444336E-02
1,1.61,0.459995384328067,-3.39746475219727E-02
1,1.62,0.463328684214503,-3.51667404174805E-02
1,1.63,0.466661984100938,-3.51667404174805E-02
1,1.64,0.469995283987373,-0.03814697265625
1,1.65,0.473328583873808,-3.99351119995117E-02
1,1.66,0.476661883760244,-4.05311584472656E-02
1,1.67,0.479995183646679,-0.044703483581543
1,1.68,0.483328483533114,-4.41074371337891E-02
1,1.69,0.48666178341955,-4.17232513427734E-02
1,1.7,0.489995083305985,-4.17232513427734E-02
1,1.71,0.49332838319242,-3.75509262084961E-02
1,1.72,0.496661683078855,-3.45706939697266E-02
1,1.73,0.499994982965291,-3.09944152832031E-02
1,1.74,0.503328282851726,-0.025629997253418
1,1.75,0.506661582738161,-2.02655792236328E-02
1,1.76,0.509994882624596,-1.54972076416016E-02
1,1.77,0.513328182511032,-1.49011611938477E-02
1,1.78,0.516661482397467,-1.13248825073242E-02
1,1.79,0.519994782283902,-1.37090682983398E-02
1,1.8,0.523328082170337,-1.60932540893555E-02
1,1.81,0.526661382056773,-1.37090682983398E-02
1,1.82,0.529994681943208,-1.49011611938477E-02
1,1.83,0.533327981829643,-1.54972076416016E-02
1,1.84,0.536661281716079,-1.37090682983398E-02
1,1.85,0.539994581602514,-1.43051147460938E-02
1,1.86,0.543327881488949,-1.78813934326172E-02
1,1.87,0.546661181375384,-2.08616256713867E-02
1,1.88,0.54999448126182,-0.019073486328125
1,1.89,0.553327781148255,-1.60932540893555E-02
1,1.9,0.55666108103469,-2.20537185668945E-02
1,1.91,0.559994380921125,-0.019073486328125
1,1.92,0.563327680807561,-1.96695327758789E-02
1,1.93,0.566660980693996,-2.08616256713867E-02
1,1.94,0.569994280580431,-1.96695327758789E-02
1,1.95,0.573327580466866,-0.019073486328125
