ééå±âÒêî,éûä‘[sec],à⁄ìÆó [mm],â◊èd[N]
1,0.01,0,-0.012516975402832
1,0.22,3.33329988643527E-03,0
1,0.24,6.66659977287054E-03,-2.38418579101563E-03
1,0.25,9.99989965930581E-03,-2.38418579101563E-03
1,0.26,1.33331995457411E-02,-3.57627868652344E-03
1,0.27,1.66664994321764E-02,-5.96046447753906E-03
1,0.28,1.99997993186116E-02,-9.5367431640625E-03
1,0.29,2.33330992050469E-02,-1.07288360595703E-02
1,0.3,2.66663990914822E-02,-1.13248825073242E-02
1,0.31,2.99996989779174E-02,-1.01327896118164E-02
1,0.32,3.33329988643527E-02,-1.84774398803711E-02
1,0.33,0.036666298750788,-0.019073486328125
1,0.34,3.99995986372232E-02,-2.38418579101563E-02
1,0.35,4.33328985236585E-02,-2.62260437011719E-02
1,0.36,4.66661984100938E-02,-2.32458114624023E-02
1,0.37,4.99994982965291E-02,-2.50339508056641E-02
1,0.38,5.33327981829643E-02,-2.38418579101563E-02
1,0.39,5.66660980693996E-02,-2.38418579101563E-02
1,0.4,5.99993979558349E-02,-2.08616256713867E-02
1,0.41,6.33326978422702E-02,-1.96695327758789E-02
1,0.42,6.66659977287054E-02,-2.02655792236328E-02
1,0.43,6.99992976151407E-02,-1.60932540893555E-02
1,0.44,7.33325975015759E-02,-1.49011611938477E-02
1,0.45,7.66658973880112E-02,-1.07288360595703E-02
1,0.46,7.99991972744465E-02,-0.012516975402832
1,0.47,8.33324971608818E-02,-1.19209289550781E-02
1,0.48,0.086665797047317,-1.01327896118164E-02
1,0.49,8.99990969337523E-02,-9.5367431640625E-03
1,0.5,9.33323968201876E-02,-7.15255737304688E-03
1,0.51,9.66656967066228E-02,-5.36441802978516E-03
1,0.52,9.99989965930581E-02,-5.36441802978516E-03
1,0.53,0.103332296479493,-6.55651092529297E-03
1,0.54,0.106665596365929,-8.94069671630859E-03
1,0.55,0.109998896252364,-7.15255737304688E-03
1,0.56,0.113332196138799,-8.34465026855469E-03
1,0.57,0.116665496025234,-1.07288360595703E-02
1,0.58,0.11999879591167,-1.43051147460938E-02
1,0.59,0.123332095798105,-1.60932540893555E-02
1,0.6,0.12666539568454,-1.78813934326172E-02
1,0.61,0.129998695570976,-1.96695327758789E-02
1,0.62,0.133331995457411,-2.32458114624023E-02
1,0.63,0.136665295343846,-2.62260437011719E-02
1,0.64,0.139998595230281,-0.031590461730957
1,0.65,0.143331895116717,-2.80141830444336E-02
1,0.66,0.146665195003152,-2.98023223876953E-02
1,0.67,0.149998494889587,-3.09944152832031E-02
1,0.68,0.153331794776022,-3.51667404174805E-02
1,0.69,0.156665094662458,-3.45706939697266E-02
1,0.7,0.159998394548893,-3.57627868652344E-02
1,0.71,0.163331694435328,-3.57627868652344E-02
1,0.72,0.166664994321764,-3.09944152832031E-02
1,0.73,0.169998294208199,-3.09944152832031E-02
1,0.74,0.173331594094634,-3.03983688354492E-02
1,0.75,0.176664893981069,-3.03983688354492E-02
1,0.76,0.179998193867505,-2.98023223876953E-02
1,0.77,0.18333149375394,-2.68220901489258E-02
