ééå±âÒêî,éûä‘[sec],à⁄ìÆó [mm],â◊èd[N]
1,0.01,0,-1.43051147460938E-02
1,0.23,3.33329988643527E-03,-2.02655792236328E-02
1,0.24,6.66659977287054E-03,-1.72853469848633E-02
1,0.26,9.99989965930581E-03,-1.96695327758789E-02
1,0.27,1.33331995457411E-02,-2.32458114624023E-02
1,0.28,1.99997993186116E-02,-2.14576721191406E-02
1,0.3,2.33330992050469E-02,-2.50339508056641E-02
1,0.31,2.66663990914822E-02,-0.025629997253418
1,0.32,2.99996989779174E-02,-2.44379043579102E-02
1,0.33,3.33329988643527E-02,-2.32458114624023E-02
1,0.34,0.036666298750788,-0.025629997253418
1,0.35,3.99995986372232E-02,-2.80141830444336E-02
1,0.36,4.33328985236585E-02,-2.98023223876953E-02
1,0.37,4.66661984100938E-02,-2.62260437011719E-02
1,0.38,4.99994982965291E-02,-2.50339508056641E-02
1,0.39,5.33327981829643E-02,-1.84774398803711E-02
1,0.4,5.66660980693996E-02,-1.78813934326172E-02
1,0.41,5.99993979558349E-02,-1.54972076416016E-02
1,0.42,6.33326978422702E-02,-0.012516975402832
1,0.43,6.66659977287054E-02,-1.49011611938477E-02
1,0.44,6.99992976151407E-02,-1.31130218505859E-02
1,0.45,7.33325975015759E-02,-1.84774398803711E-02
1,0.46,7.66658973880112E-02,-2.20537185668945E-02
1,0.47,7.99991972744465E-02,-2.38418579101563E-02
1,0.48,8.33324971608818E-02,-2.62260437011719E-02
1,0.49,0.086665797047317,-3.63588333129883E-02
1,0.5,8.99990969337523E-02,-0.03814697265625
1,0.51,9.33323968201876E-02,-4.05311584472656E-02
1,0.52,9.66656967066228E-02,-4.29153442382813E-02
1,0.53,9.99989965930581E-02,-4.29153442382813E-02
1,0.54,0.103332296479493,-4.70876693725586E-02
1,0.55,0.106665596365929,-5.18560409545898E-02
1,0.56,0.109998896252364,-0.050663948059082
1,0.57,0.113332196138799,-4.70876693725586E-02
1,0.58,0.116665496025234,-4.58955764770508E-02
1,0.59,0.11999879591167,-4.41074371337891E-02
1,0.6,0.123332095798105,-4.35113906860352E-02
1,0.61,0.12666539568454,-4.76837158203125E-02
1,0.62,0.129998695570976,-4.35113906860352E-02
1,0.63,0.133331995457411,-4.23192977905273E-02
1,0.64,0.136665295343846,-4.35113906860352E-02
1,0.65,0.143331895116717,-3.99351119995117E-02
1,0.67,0.146665195003152,-4.17232513427734E-02
1,0.68,0.149998494889587,-3.93390655517578E-02
1,0.69,0.153331794776022,-3.87430191040039E-02
1,0.7,0.156665094662458,-3.75509262084961E-02
1,0.71,0.159998394548893,-3.63588333129883E-02
